Weight,Model,Horizon,Bias Statistic,Q Statistic
equal,modelA,1,1.0669134795351765,2.386479574355833
equal,modelA,5,1.0549861565757186,2.3777143982403
equal,modelA,21,1.1202064959263522,2.2593216072097424
equal,modelA,63,1.125476413357103,1.9828211401961282
equal,modelB,1,1.040291520159831,2.380765832307529
equal,modelB,5,1.0293905071311278,2.3747269148983476
equal,modelB,21,1.0931959069347261,2.2497079377391915
equal,modelB,63,1.096514717806206,1.9685317204767612
inv_hist_vol,modelA,1,1.0698108505056945,2.374104483287394
inv_hist_vol,modelA,5,1.0632820182431675,2.3901949624407197
inv_hist_vol,modelA,21,1.1260139693685762,2.2796198468653084
inv_hist_vol,modelA,63,1.160863182224412,2.0671066702571474
inv_hist_vol,modelB,1,1.0308744638108096,2.3659371833107805
inv_hist_vol,modelB,5,1.0252505027569538,2.384395605899105
inv_hist_vol,modelB,21,1.0860064626920236,2.264640181655205
inv_hist_vol,modelB,63,1.1185256806406239,2.0440262282826924
